"","Date","Location","loc_temp","Taxon","Sample_ID","Body_Length_cm","Weight_g","Size_cat","Time_sec","Distance_cm","Acclim_temp","test","Temp","end_time_s","Notes","X","movement","speed","temp_range"
"70","17-Jun-25","Kobbefjord",14.8,"wolf_spider","4A-K17",NA,NA,NA,2.7,5,NA,"CCRT",0.8,"66","","","yes",1.85185185185185,"10-15"
"71","17-Jun-25","Kobbefjord",14.9,"wolf_spider","5A-K17",NA,NA,NA,1,25,NA,"CCRT",0.8,"0.5","","","yes",25,"10-15"
"72","17-Jun-25","Kobbefjord",3.8,"wolf_spider","1B-K17",NA,NA,NA,13.88,25,NA,"CCRT",0.8,"0.55","","","yes",1.80115273775216,"0-5"
"73","17-Jun-25","Kobbefjord",3.7,"wolf_spider","2B-K17",NA,NA,NA,5.89,25,NA,"CCRT",0.8,NA,"dead","","yes",4.24448217317487,"0-5"
"74","17-Jun-25","Kobbefjord",3.7,"wolf_spider","3B-K17",NA,NA,NA,13.28,25,NA,"CCRT",0.8,"0.46","","","yes",1.88253012048193,"0-5"
"75","17-Jun-25","Kobbefjord",3.8,"wolf_spider","4B-K17",NA,NA,NA,10.29,25,NA,"CCRT",0.8,"220","","","yes",2.42954324586978,"0-5"
"76","17-Jun-25","Kobbefjord",3,"wolf_spider","5B-K17",NA,NA,NA,30.92,25,NA,"CCRT",0.8,"0.59","","","yes",0.808538163001294,"0-5"
"77","17-Jun-25","Kobbefjord",29.9,"wolf_spider","1C-K17",NA,NA,NA,61,25,NA,"",NA,"","","","yes",0.409836065573771,"25-30"
"78","17-Jun-25","Kobbefjord",32,"wolf_spider","2C-K17",NA,NA,NA,19.37,25,NA,"",NA,"","","","yes",1.29065565307176,"30-35"
"79","17-Jun-25","Kobbefjord",31,"wolf_spider","3C-K17",NA,NA,NA,7.47,25,NA,"",NA,"","","","yes",3.34672021419009,"30-35"
"80","17-Jun-25","Kobbefjord",31,"wolf_spider","4C-K17",NA,NA,NA,28.9,8,NA,"",NA,"","","","yes",0.27681660899654,"30-35"
"81","17-Jun-25","Kobbefjord",32,"wolf_spider","5C-K17",NA,NA,NA,10.33,14,NA,"",NA,"","","","yes",1.35527589545015,"30-35"
"82","17-Jun-25","Kobbefjord",39,"wolf_spider","1D-K17",NA,NA,NA,7.12,25,NA,"",NA,"","","","yes",3.51123595505618,"35-40"
"83","17-Jun-25","Kobbefjord",39,"wolf_spider","2D-K17",NA,NA,NA,9.37,25,NA,"",NA,"","","","yes",2.66808964781217,"35-40"
"84","17-Jun-25","Kobbefjord",42,"wolf_spider","3D-K17",NA,NA,NA,NA,0,NA,"",NA,"","fail","","no",NA,"40-45"
"85","17-Jun-25","Kobbefjord",42,"wolf_spider","4D-K17",NA,NA,NA,2.44,25,NA,"",NA,"","questionable start temp","","yes",10.2459016393443,"40-45"
"86","17-Jun-25","Kobbefjord",40.4,"wolf_spider","5D-K17",NA,NA,NA,2.37,4,NA,"",NA,"","","","yes",1.68776371308017,"40-45"
"87","17-Jun-25","Kobbefjord",37.9,"wolf_spider","6D-K17",NA,NA,NA,2.89,25,NA,"",NA,"","questionable start temp","","yes",8.65051903114187,"35-40"
"88","17-Jun-25","Kobbefjord",39.9,"weevil","W1A-K17",NA,NA,NA,32.6,8,NA,"",NA,"","","","yes",0.245398773006135,"35-40"
"89","17-Jun-25","Kobbefjord",38,"weevil","W2A-K17",NA,NA,NA,15.93,3,NA,"",NA,"","","","yes",0.188323917137476,"35-40"
"90","17-Jun-25","Kobbefjord",38.4,"weevil","W3A-K17",NA,NA,NA,NA,0,NA,"",NA,"","","","no",NA,"35-40"
"91","17-Jun-25","Kobbefjord",38,"weevil","W4A-K17",NA,NA,NA,34.52,15,NA,"",NA,"","","","yes",0.434530706836616,"35-40"
"92","17-Jun-25","Kobbefjord",38.1,"weevil","W5A-K17",NA,NA,NA,29.09,17,NA,"",NA,"","","","yes",0.584393262289447,"35-40"
"93","17-Jun-25","Kobbefjord",40.2,"weevil","W6A-K17",NA,NA,NA,13.13,2,NA,"",NA,"","","","yes",0.152322924600152,"40-45"
"94","17-Jun-25","Kobbefjord",38,"weevil","W7A-K17",NA,NA,NA,3.66,3,NA,"",NA,"","","","yes",0.819672131147541,"35-40"
"95","17-Jun-25","Kobbefjord",38,"weevil","W8A-K17",NA,NA,NA,17.86,2,NA,"",NA,"","","","yes",0.111982082866741,"35-40"
"96","17-Jun-25","Kobbefjord",39.3,"weevil","W9A-K17",NA,NA,NA,36.63,25,NA,"",NA,"","","","yes",0.682500682500682,"35-40"
"97","17-Jun-25","Kobbefjord",40,"weevil","W10A-K17",NA,NA,NA,NA,0,NA,"",NA,"","","","no",NA,"40-45"
"98","17-Jun-25","Nuuk",29.5,"muscids","U5-N15",NA,0.0044,"S",25.81,25,NA,"",NA,"","","","yes",0.968616815187912,"25-30"
"99","18-Jun-25","Kobbefjord",3.4,"weevil","W1-K18",NA,NA,NA,54.11,2,NA,"",NA,"","","","yes",0.0369617445943449,"0-5"
"100","18-Jun-25","Kobbefjord",3.5,"weevil","W2-K18",NA,NA,NA,58,25,NA,"",NA,"","","","yes",0.431034482758621,"0-5"
"101","18-Jun-25","Kobbefjord",3.6,"weevil","W4-K18",NA,NA,NA,108,13,NA,"",NA,"","","","yes",0.12037037037037,"0-5"
"102","18-Jun-25","Kobbefjord",2.7,"weevil","W5-K18",NA,NA,NA,83,4,NA,"",NA,"","","","yes",0.0481927710843374,"0-5"
"103","18-Jun-25","Kobbefjord",3.8,"weevil","W6-K18",NA,NA,NA,257,25,NA,"",NA,"","","","yes",0.0972762645914397,"0-5"
"104","18-Jun-25","Kobbefjord",3.9,"weevil","W7-K18",NA,NA,NA,NA,0,NA,"",NA,"","","","no",NA,"0-5"
"105","18-Jun-25","Kobbefjord",3.8,"weevil","W8-K18",NA,NA,NA,99,4,NA,"",NA,"","","","yes",0.0404040404040404,"0-5"
"106","18-Jun-25","Kobbefjord",0.9,"muscids","M3-K18",NA,NA,NA,36.69,24,NA,"CCRT",0.26,"","","","yes",0.654129190515127,"0-5"
"107","18-Jun-25","Kobbefjord",0.6,"muscids","M1-K18",NA,NA,NA,20.73,20,NA,"CCRT",0.12,"","","","yes",0.964785335262904,"0-5"
